"id"	"open"	"close"	"high"	"low"	"vol"	"amount"	"count"	"update_time"
"1604004300"	"4.2569"	"4.2576"	"4.258"	"4.2533"	"9756.85846359"	"2292.3006501974146"	"138"	
"1604005200"	"4.2578"	"4.2536"	"4.2578"	"4.2501"	"9132.453905"	"2147.2847489185633"	"123"	
"1604006100"	"4.2529"	"4.2566"	"4.2566"	"4.25"	"7470.05029"	"1756.3994584498273"	"84"	
"1604007000"	"4.2554"	"4.2542"	"4.2565"	"4.2535"	"14112.86227002"	"3317.031208643542"	"247"	
"1604007900"	"4.2539"	"4.2591"	"4.26"	"4.2537"	"10529.945273"	"2473.16"	"134"	
"1604008800"	"4.2591"	"4.253"	"4.2597"	"4.2503"	"21651.962627"	"5089.477813308253"	"209"	
"1604009700"	"4.2533"	"4.2533"	"4.2559"	"4.2506"	"26160.830238"	"6151.65558544155"	"241"	
"1604010600"	"4.2527"	"4.2511"	"4.2557"	"4.25"	"63388.05862720845"	"14910.80028353484"	"164"	
"1604011500"	"4.251"	"4.2486"	"4.2554"	"4.2472"	"69819.92429674"	"16419.40491112575"	"296"	
"1604012400"	"4.2493"	"4.2536"	"4.2605"	"4.2485"	"83805.129327"	"19703.089663510116"	"615"	
"1604013300"	"4.2542"	"4.266"	"4.2666"	"4.2542"	"63425.98803215"	"14886.554715304857"	"359"	
"1604014200"	"4.2661"	"4.2675"	"4.2772"	"4.266"	"67241.3195823"	"15743.057144075303"	"542"	
"1604015100"	"4.2675"	"4.2665"	"4.268"	"4.2639"	"23948.052767"	"5613.665822710657"	"215"	
"1604016000"	"4.2663"	"4.2532"	"4.2717"	"4.2477"	"244701.27554863816"	"57401.35094217922"	"717"	
"1604016900"	"4.2518"	"4.2519"	"4.2542"	"4.2473"	"54783.06837483"	"12890.29760461672"	"278"	
"1604017800"	"4.2509"	"4.2534"	"4.2543"	"4.2491"	"52601.5380673"	"12372.078759694155"	"303"	
"1604018700"	"4.2534"	"4.2604"	"4.2684"	"4.2534"	"93267.01981677367"	"21889.874510767786"	"743"	
"1604019600"	"4.2611"	"4.2731"	"4.2731"	"4.2554"	"211928.420173"	"49681.51253715914"	"712"	
"1604020500"	"4.273"	"4.2635"	"4.273"	"4.2603"	"72853.479348"	"17074.234139224533"	"316"	
"1604021400"	"4.2636"	"4.2538"	"4.2641"	"4.2483"	"87876.29522039"	"20652.530023296364"	"501"	
"1604022300"	"4.2526"	"4.2491"	"4.2551"	"4.2472"	"171927.0368275618"	"40447.194833607646"	"663"	
"1604023200"	"4.2491"	"4.2373"	"4.2536"	"4.2345"	"109776.84867068219"	"25854.059505335103"	"624"	
"1604024100"	"4.2373"	"4.2198"	"4.2375"	"4.1904"	"646551.815265576"	"153581.20255216118"	"2132"	
"1604025000"	"4.2199"	"4.1798"	"4.2203"	"4.1725"	"237907.79396890735"	"56783.62916837586"	"1347"	
"1604025900"	"4.1793"	"4.1977"	"4.1982"	"4.176"	"186930.24949367"	"44636.88620012083"	"775"	
"1604026800"	"4.1976"	"4.2138"	"4.2149"	"4.1881"	"195616.78168849"	"46546.81685794488"	"689"	
"1604027700"	"4.2138"	"4.2053"	"4.2157"	"4.205"	"53701.59519250021"	"12756.125633058755"	"386"	
"1604028600"	"4.2052"	"4.1937"	"4.208"	"4.1936"	"39461.349462"	"9388.448212927757"	"334"	
"1604029500"	"4.1936"	"4.18"	"4.1951"	"4.1766"	"153847.94978100783"	"36781.76390104098"	"814"	
"1604030400"	"4.18"	"4.1805"	"4.194"	"4.1789"	"142870.36324930098"	"34128.59361293873"	"567"	
"1604031300"	"4.1801"	"4.188"	"4.1892"	"4.1798"	"58450.92427572"	"13972.451147523117"	"404"	
"1604032200"	"4.1875"	"4.1939"	"4.1988"	"4.1875"	"55157.3946242"	"13149.9819221472"	"357"	
"1604033100"	"4.1937"	"4.1761"	"4.1939"	"4.1761"	"172963.441829"	"41337.8"	"705"	
"1604034000"	"4.1761"	"4.1891"	"4.1926"	"4.176"	"41024.945075721625"	"9805.779150041264"	"406"	
"1604034900"	"4.1892"	"4.1953"	"4.1989"	"4.189"	"125760.537021"	"29984.129620470852"	"762"	
"1604035800"	"4.1953"	"4.1773"	"4.2015"	"4.1767"	"193322.79216806"	"46157.052853459274"	"898"	
"1604036700"	"4.1773"	"4.1656"	"4.1826"	"4.165"	"223084.9001271566"	"53465.99447609906"	"934"	
"1604037600"	"4.1652"	"4.1672"	"4.176"	"4.1632"	"207701.67021810086"	"49806.82948586337"	"949"	
"1604038500"	"4.1674"	"4.1656"	"4.1717"	"4.1554"	"249868.446518"	"60029.12586574228"	"1056"	
"1604039400"	"4.1668"	"4.1798"	"4.181"	"4.1664"	"94294.92169494"	"22608.871231710862"	"535"	
"1604040300"	"4.1797"	"4.1756"	"4.1797"	"4.172"	"73921.03872992"	"17705.010710650287"	"308"	
"1604041200"	"4.1751"	"4.1681"	"4.1781"	"4.168"	"160446.62862365"	"38434.185767699055"	"743"	
"1604042100"	"4.1681"	"4.1557"	"4.1716"	"4.1508"	"215366.86512533657"	"51780.696680237386"	"1108"	
"1604043000"	"4.1555"	"4.1655"	"4.1697"	"4.1547"	"125726.22088302"	"30208.177768944955"	"1014"	
"1604043900"	"4.1655"	"4.1591"	"4.1681"	"4.1545"	"58275.74396269"	"13999.84953851608"	"497"	
"1604044800"	"4.1592"	"4.1785"	"4.1842"	"4.1551"	"143681.43378989774"	"34407.474361973254"	"791"	
"1604045700"	"4.1785"	"4.1649"	"4.1804"	"4.1633"	"77323.74776377187"	"18530.424341216272"	"446"	
